bedrooms,built_surface,bathrooms,latitude,longitude,parking,price
4,204,3,-33.3638225,-70.496922,3,660000000
4,240,4,-33.3770466,-70.5256102,3,585000000
4,275,5,-33.3983106,-70.5886359,2,567000000
3,216,3,-33.367058,-70.4957967,2,567000000
3,170,3,-33.366126,-70.5200095,2,555000000
4,171,4,-33.4321983,-70.5937142,3,537000000
2,136,2,-33.361652,-70.5172544,2,531000000
5,260,4,-33.4306909,-70.5617733,4,521520000
3,144,3,-33.3593132,-70.5236334,2,477000000
4,200,4,-33.4241053,-70.5891936,2,468000000
4,160,4,-33.3340123,-70.5117351,2,465000000
4,140,4,-33.3672135,-70.5219079,2,462000000
4,198,4,-33.420483,-70.5663268,2,450000000
4,120,4,-33.4058517,-70.5546061,2,429000000
3,133,3,-33.3940952,-70.589191,4,420000000
3,144,3,-33.4034005,-70.5971568,2,417000000
3,140,4,-33.4119582,-70.5880782,2,414000000
4,155,4,-33.3749348,-70.5433771,2,396000000
4,120,2,-33.4574672,-70.6122159,3,396000000
3,111,3,-33.4376844,-70.6111299,2,390000000
4,140,3,-33.3414129,-70.4993007,2,378000000
4,160,3,-33.4174013,-70.5945803,1,375000000
4,145,3,-33.4180536,-70.5940033,3,369000000
4,143,3,-33.4137546,-70.584724,1,366000000
4,120,3,-33.4059267,-70.571378,3,366000000
4,150,4,-33.37895594,-70.52744944,1,360000000
5,160,3,-33.461538,-70.585293,2,360000000
3,138,3,-33.4037889,-70.5438368,2,357000000
1,81,2,-33.42843,-70.6000234,0,355380000
3,110,3,-33.3988137,-70.5881099,2,345000000
3,97,3,-33.3984064,-70.6008357,2,342000000
3,129,3,-33.4055197,-70.5670705,1,340000000
4,120,4,-33.3945102,-70.5598885,2,339000000
3,140,2,-33.3767654,-70.5439607,2,333000000
4,125,3,-33.4189029,-70.5545211,1,324000000
3,125,3,-33.4349848,-70.5965368,2,324000000
5,190,2,-33.5095972,-70.6550442,5,320000000
3,119,2,-33.4301765,-70.569475,2,319793652
3,84,2,-33.4071926,-70.5568641,2,315000000
4,113,3,-33.404989,-70.593034,2,300000000
3,126,3,-33.4256078,-70.5800943,1,300000000
2,90,2,-33.3844531,-70.5589891,2,299700000
4,120,3,-33.4442305,-70.612466,2,295500000
3,107,3,-33.3611028,-70.518547,2,291000000
2,90,2,-33.362289,-70.5147129,2,291000000
5,250,3,-33.4444877,-70.6683453,2,290000000
2,85,2,-33.3741556,-70.5257973,2,282000000
4,135,3,-33.5068012,-70.5366775,2,280050000
2,85,2,-33.4217525,-70.5757153,2,279000000
2,97,2,-33.3606245,-70.517396,2,276000000
3,82,2,-33.4053969,-70.566443,2,276000000
2,77,3,-33.3997643,-70.5726746,1,270000000
3,145,2,-33.4192838,-70.5531223,2,270000000
2,82,2,-33.4390974,-70.5995415,1,268500000
3,116,2,-33.4254,-70.6023927,1,267000000
5,200,3,-33.4663162,-70.5285287,1,267000000
5,190,3,-33.5440681,-70.5959999,5,267000000
2,85,2,-33.3845302,-70.5606461,1,265200000
2,75,2,-33.4314546,-70.601068,2,264000000
2,87,2,-33.4321948,-70.620553,2,256500000
2,60,2,-33.4056975,-70.5599825,1,255000000
3,88,2,-33.4422465,-70.6070401,1,255000000
2,82,2,-33.4320265,-70.6126006,2,254700000
2,69,2,-33.4050405,-70.5584137,1,254700000
4,120,3,-33.39258,-70.5475183,1,246000000
1,80,2,-33.4417198,-70.6037869,1,240000000
2,73,2,-33.392146,-70.5573758,2,240000000
4,142,3,-33.4074012,-70.5981153,1,239700000
2,70,2,-33.3709198,-70.5133073,2,237000000
2,78,2,-33.4258305,-70.5936484,2,237000000
3,84,2,-33.442273,-70.6186586,1,235000000
2,60,2,-33.4045029,-70.5559721,2,229500000
2,74,2,-33.4032136,-70.5549596,2,228000000
2,90,2,-33.4296551,-70.6115017,1,225150000
3,90,1,-33.4115467,-70.5735774,1,225000000
2,69,2,-33.4066108,-70.5565644,1,223500000
2,70,2,-33.3798033,-70.5366754,1,219000000
2,73,2,-33.42801,-70.591579,0,219000000
3,94,2,-33.4544833,-70.5880549,1,213000000
3,120,3,-33.4974674,-70.6564383,1,210000000
4,139,2,-33.4499856,-70.6530532,0,207000000
3,90,2,-33.454607,-70.5767378,1,201000000
2,85,2,-33.4205058,-70.572183,1,198000000
3,112,2,-33.3579862,-70.6799246,2,197100000
3,104,2,-33.5421242,-70.5630979,3,195000000
2,53,2,-33.4249189,-70.6159717,1,193500000
2,67,2,-33.4188291,-70.5970713,1,192000000
4,150,4,-33.3792796,-70.6227715,3,190000000
2,50,2,-33.4137341,-70.5818074,1,189000000
3,68,2,-33.4515113,-70.6132677,1,186000000
2,74,2,-33.4544128,-70.5698099,1,186000000
2,64,2,-33.454202,-70.5896153,2,183000000
3,95,2,-33.5890439,-70.5761897,4,182760000
3,82,2,-33.4855574,-70.652509,1,182100000
3,234,1,-33.4705068,-70.5864757,2,180000000
3,72,2,-33.4493575,-70.613988,1,177000000
2,64,2,-33.4353565,-70.6276047,1,175500000
3,138,2,-33.5102008,-70.6526394,1,174000000
2,86,2,-33.3850407,-70.6142702,1,174000000
2,60,2,-33.4567934,-70.5801495,2,174000000
2,60,2,-33.3924525,-70.5452252,1,171000000
1,35,1,-33.4228395,-70.609956,1,170000000
2,60,2,-33.4277479,-70.6188165,1,166500000
4,148,3,-33.5837422,-70.5824243,2,165000000
3,85,2,-33.4484905,-70.6090076,1,165000000
2,65,2,-33.4533527,-70.6095497,1,165000000
3,102,2,-33.447206,-70.649035,0,164700000
2,67,2,-33.454051,-70.622144,1,164190000
2,70,2,-33.4554588,-70.583551,1,163500000
4,98,2,-33.5342753,-70.5777368,2,163000000
2,52,2,-33.4555615,-70.5689669,1,162000000
3,85,2,-33.4856651,-70.65521,2,162000000
1,42,1,-33.4032136,-70.5549596,1,162000000
4,100,2,-33.5380366,-70.5928289,2,160000000
1,50,2,-33.430191,-70.609085,1,159000000
2,73,2,-33.4551088,-70.5751576,1,156000000
5,108,2,-33.5404964,-70.5737821,2,156000000
2,60,2,-33.4642831,-70.5955687,1,152220000
2,77,2,-33.4464772,-70.6400728,1,150000000
2,45,2,-33.4488625,-70.6059274,1,150000000
2,62,2,-33.4541346,-70.6221906,1,150000000
3,173,2,-33.3968822,-70.6770404,3,150000000
8,72,4,-33.4000079,-70.6335643,4,150000000
2,64,2,-33.4714085,-70.6089759,1,147000000
1,35,1,-33.4189691,-70.5540672,1,141000000
2,52,2,-33.4365032,-70.6571454,1,140000000
5,190,2,-33.535657,-70.7894985,2,140000000
4,94,2,-33.4594386,-70.6501883,0,139800000
3,76,2,-33.5233952,-70.6002481,1,135000000
3,80,2,-33.523418,-70.6003159,1,135000000
1,37,1,-33.447037,-70.599191,1,135000000
1,34,1,-33.4468168,-70.6138924,1,132000000
2,47,1,-33.4513331,-70.6257794,1,132000000
3,70,2,-33.436443,-70.6548927,1,130000000
3,96,2,-33.4370711,-70.6495905,0,130000000
2,40,2,-33.4360395,-70.6042542,0,129000000
2,78,3,-33.3547153,-70.6831594,1,129000000
3,67,2,-33.449977,-70.654465,1,126000000
2,60,2,-33.448283,-70.6438465,1,126000000
3,78,2,-33.4862957,-70.6481219,1,125000000
3,74,2,-33.4535819,-70.6604829,0,123000000
3,69,2,-33.4485752,-70.6549827,1,123000000
1,41,1,-33.4178736,-70.5976754,0,123000000
4,140,1,-33.5100763,-70.5732189,2,121680000
3,70,2,-33.4661085,-70.6297939,1,120000000
4,87,1,-33.4081454,-70.6578078,1,120000000
3,58,1,-33.4499309,-70.6792359,0,120000000
2,57,2,-33.4480918,-70.6484007,0,120000000
6,176,3,-33.4479076,-70.7128855,2,120000000
3,75,1,-33.4657514,-70.5842566,1,120000000
3,108,3,-33.5442641,-70.7768475,3,120000000
3,75,2,-33.5265714,-70.594539,1,120000000
3,75,2,-33.4561568,-70.7062942,1,120000000
1,48,1,-33.4608417,-70.6004315,1,119700000
2,68,2,-33.4525142,-70.6426725,0,119700000
2,55,2,-33.493298,-70.650382,1,119000000
1,42,1,-33.454607,-70.5767378,1,117600000
2,53,2,-33.5047966,-70.6587117,1,117000000
2,61,2,-33.4419532,-70.659432,0,116600000
2,59,2,-33.4564026,-70.6588846,1,115500000
2,43,1,-33.4567993,-70.6439554,1,115500000
3,97,2,-33.3854266,-70.6602563,4,115000000
2,56,2,-33.4070822,-70.6667315,0,114000000
3,74,3,-33.4773006,-70.6227043,0,114000000
1,38,1,-33.4536255,-70.6073083,1,114000000
1,50,1,-33.4556195,-70.5981867,0,114000000
2,48,2,-33.4864669,-70.5974346,1,114000000
2,60,2,-33.437073,-70.656935,0,113700000
1,32,1,-33.4551787,-70.5751357,1,110700000
2,56,2,-33.4531307,-70.6603065,1,110700000
3,68,2,-33.4341728,-70.6575785,0,110000000
1,34,1,-33.4240851,-70.6107921,0,109500000
1,42,1,-33.4373391,-70.657814,0,109500000
2,53,2,-33.4773024,-70.6229806,0,109000000
2,43,2,-33.43634,-70.6542875,1,108000000
2,54,2,-33.4342569,-70.6592747,1,108000000
3,74,2,-33.4403179,-70.6567833,0,108000000
5,230,2,-33.5323235,-70.7039162,3,108000000
1,40,1,-33.4565829,-70.5970004,1,107400000
1,25,1,-33.4578604,-70.6094319,0,107250000
2,45,1,-33.4865434,-70.6173974,1,106500000
2,57,2,-33.4485726,-70.6366854,1,106500000
2,46,2,-33.4734205,-70.6006963,1,106500000
2,46,2,-33.4484062,-70.6341805,1,105000000
2,53,2,-33.4454266,-70.6429868,1,105000000
2,56,2,-33.4491606,-70.6348078,1,105000000
3,73,2,-33.4485677,-70.6452174,0,105000000
2,53,2,-33.4571641,-70.64445,1,105000000
2,60,2,-33.4712569,-70.6609065,1,105000000
2,60,2,-33.4679979,-70.6558359,1,105000000
